Alter	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
71	8.49	9.13	8.36	7.81	8.33	7.81	7.96	7.99	7.68	7.27
72	8.09	8.54	8.39	8.56	8.17	7.92	7.81	7.53	7.71	7.97
73	8.33	9.05	8.91	7.97	8.15	7.84	7.57	7.69	8.17	7.83
74	8.49	8.67	8.77	8.14	8.06	8.04	7.82	8.18	7.73	7.43
75	8.47	8.99	8.59	8.81	7.87	7.79	8.14	7.54	8.11	7.55
76	8.56	8.74	8.53	8.04	8.21	8.30	7.87	8.26	8.02	7.74
77	8.50	9.08	8.76	8.16	8.53	8.45	7.75	7.60	8.48	7.84
78	8.82	9.00	8.31	8.44	8.35	8.08	7.71	7.67	7.91	8.24
79	9.50	9.70	8.75	8.88	8.32	8.23	8.11	8.16	8.18	7.74
80	8.73	9.41	9.12	8.47	8.32	8.00	8.53	7.78	8.37	7.52
81	8.97	9.14	9.09	8.35	8.31	7.83	7.71	7.85	7.90	7.91
82	9.19	9.44	9.24	8.79	8.12	7.88	7.72	8.11	8.51	8.01
83	9.17	9.36	9.33	8.63	8.83	8.27	8.21	7.97	8.74	8.40
84	9.63	9.03	8.99	8.71	8.44	7.81	8.15	8.25	8.66	8.30
85	8.73	8.66	8.31	8.74	8.36	7.82	8.06	7.90	9.03	8.46
86	8.76	8.80	8.52	8.39	8.74	7.92	7.44	7.31	8.67	8.52
87	9.02	8.73	8.66	7.59	7.68	8.00	7.41	7.65	9.01	8.47
88	8.77	8.74	8.64	7.72	7.64	8.02	7.80	7.17	8.88	8.62
89	8.62	8.00	7.72	7.92	7.57	7.65	7.25	7.75	9.06	8.49
90	8.44	7.81	8.00	7.77	7.37	6.77	8.34	7.03	8.90	8.71
91	8.76	8.45	7.73	7.93	7.96	7.01	7.01	6.91	8.65	8.40
92	8.32	7.76	8.06	7.94	7.19	7.03	6.60	6.39	9.00	8.64
93	8.46	6.98	8.25	6.73	6.50	7.25	6.90	7.29	9.41	8.88
94	6.77	8.06	6.97	6.91	6.98	6.44	7.76	6.20	8.73	8.59
95	6.31	8.46	7.08	5.78	5.38	6.37	7.20	6.54	9.39	7.97
96	6.69	6.22	5.96	5.32	6.03	7.27	7.01	6.88	8.76	8.75
97	6.61	6.66	6.86	5.62	6.34	6.13	5.35	7.39	8.81	8.12
98	9.22	8.43	5.33	7.23	6.59	5.21	6.22	5.30	8.42	8.59
99	9.11	6.45	5.37	6.83	13.00	6.39	5.80	6.00	8.54	8.15
100	7.94	10.10	7.23	7.19	7.00	5.36	6.67	5.48	7.57	9.05
