"Jahr"	"Mitteltemperatur Heizperiode (Sep-Jun)"	"Gleitendes Mittel der Lufttemperatur (Heizperiode)"	"Heizgradtage (rechte Skala)"
1889	6.39	6.8866666667	
1890	6.42	6.9076666667	
1891	5.14	6.908	
1892	7.22	6.9103333333	
1893	7.3	6.8646666667	
1894	7.32	6.877	
1895	5.7	6.8696666667	
1896	7.59	6.9406666667	
1897	7.48	6.9226666667	
1898	6.88	6.9803333333	
1899	8.14	6.965	
1900	7.19	6.9683333333	
1901	7.07	6.9896666667	
1902	7.13	7.036	
1903	6.81	7.047	
1904	7.76	7.0913333333	
1905	7.05	7.117	
1906	6.7	7.1733333333	
1907	6.81	7.2516666667	
1908	7.44	7.254	
1909	6.23	7.24	
1910	7.48	7.2336666667	
1911	6.97	7.2973333333	
1912	8.71	7.2896666667	
1913	6.97	7.308	
1914	7.62	7.328	
1915	7.71	7.2656666667	
1916	7.69	7.321	
1917	6.89	7.3466666667	
1918	6.93	7.3086666667	
1919	7.16	7.3306666667	
1920	8.11	7.319	
1921	7.49	7.348	
1922	7.29	7.3976666667	
1923	6.88	7.4443333333	
1924	7.13	7.4453333333	
1925	7.61	7.4886666667	
1926	7.36	7.466	
1927	8.03	7.4476666667	
1928	7.48	7.3693333333	
1929	6.27	7.425	
1930	8.85	7.4223333333	
1931	7.84	7.4353333333	
1932	5.99	7.449	
1933	7.47	7.4706666667	
1934	7.41	7.548	
1935	7.92	7.568	
1936	8.19	7.601	
1937	8.21	7.6046666667	
1938	7.47	7.638	
1939	7.53	7.6463333333	
1940	6.8	7.6516666667	
1941	6.42	7.661	
1942	6.36	7.6276666667	
1943	8.64	7.6253333333	
1944	7.54	7.621	
1945	8.1	7.6953333333	
1946	8.1	7.679	
1947	7.54	7.7053333333	
1948	9.25	7.7696666667	
1949	7.76	7.716	
1950	9.1	7.7383333333	
1951	7.6	7.7263333333	
1952	8.29	7.7346666667	
1953	7.13	7.741	
1954	7.29	7.758	
1955	7.89	7.7573333333	
1956	6.36	7.7746666667	
1957	7.96	7.8156666667	
1958	7.35	7.8663333333	
1959	8.5	7.8133333333	
1960	8.36	7.844	
1961	8.63	7.8446666667	
1962	7.92	7.8523333333	
1963	5.86	7.8796666667	
1964	8.08	7.839	
1965	7.56	7.8353333333	
1966	8.44	7.8056666667	
1967	8.4	7.8136666667	
1968	7.98	7.8086666667	
1969	7.51	7.871	
1970	7.32	7.8806666667	
1971	7.65	7.8653333333	
1972	7.88	7.901	
1973	7.05	7.8803333333	
1974	8.46	7.9466666667	
1975	8.12	7.9646666667	
1976	8.33	7.9886666667	
1977	8.36	7.9656666667	
1978	8.03	7.986	
1979	7.65	8.09	
1980	8.21	8.1186666667	
1981	7.84	8.1736666667	
1982	8.14	8.1626666667	
1983	9	8.1556666667	
1984	7.58	8.2006666667	
1985	7.43	8.2316666667	
1986	7.43	8.3036666667	
1987	7.34	8.3696666667	
1988	9.34	8.413	
1989	9.04	8.5006666667	
1990	9.08	8.4990514893	
1991	7.94	8.5261672599	
1992	8.53	8.5231672599	
1993	8.98	8.6161672599	
1994	8.94	8.6488339266	
1995	9.21	8.6801672599	
1996	8.11	8.6951672599	
1997	8.19	8.7398339266	
1998	9.33	8.7825005933	
1999	8.44	8.7571672599	
2000	9.48	8.8418339266	
2001	9.63	8.9261672599	2887
2002	9.18	8.9978339266	2701
2003	9.68	9.0705005933	2997
2004	8.4115446793	9.0841672599	2992
2005	8.9334731183	9.1118339266	3041
2006	8.24	9.1588339266	2934
2007	11.15	9.2071672599	2671
2008	9.01	9.2605005933	3006
2009	8.59		2826
2010	8.66		3274
2011	9.18		2605
2012	9.42		2927
2013	8.24		3106
2014	10.12		2379
2015	9.96		3569
2016	9.58		2989
2017	9.52		2905
2018	9.75		2619
2019	9.87		2708
2020	10.49		2507
2021	9.39		3058
2022	10.13		2503
