"Datum"	"Gemeldete Todesfälle 0 - 64 Jahre"	"Untere Grenze Erwartungsbereich 0 - 64 Jahre"	"Obere Grenze Erwartungsbereich 0 - 64 Jahre"	"Gemeldete Todesfälle 65+ Jahre"	"Untere Grenze Erwartungsbereich 65+ Jahre"	"Obere Grenze Erwartungsbereich 65+ Jahre"	"JahrKW"
2003-12-15	6	0.0	12.7	41	25.2	58.6	2003-51
2003-12-22	7	0.0	12.7	48	25.6	59.1	2003-52
2003-12-29	3	0.0	13.1	53	27.4	61.8	2004-01
2004-01-05	6	0.0	13.1	49	27.1	61.3	2004-02
2004-01-12	8	0.0	13.0	39	26.7	60.8	2004-03
2004-01-19	6	0.0	12.9	53	26.4	60.3	2004-04
2004-01-26	4	0.0	12.9	46	26.1	59.9	2004-05
2004-02-02	6	0.0	12.8	38	25.8	59.4	2004-06
2004-02-09	7	0.0	12.8	36	25.4	58.9	2004-07
2004-02-16	5	0.0	12.7	42	25.1	58.4	2004-08
2004-02-23	5	0.0	12.7	37	24.8	57.9	2004-09
2004-03-01	5	0.0	12.6	37	24.5	57.4	2004-10
2004-03-08	6	0.0	12.6	55	24.1	56.9	2004-11
2004-03-15	3	0.0	12.6	31	23.8	56.5	2004-12
2004-03-22	3	0.0	12.5	29	23.5	56.0	2004-13
2004-03-29	3	0.0	12.5	38	23.2	55.5	2004-14
2004-04-05	7	0.0	12.5	38	22.9	55.1	2004-15
2004-04-12	2	0.0	12.4	31	22.6	54.6	2004-16
2004-04-19	5	0.0	12.4	38	22.3	54.2	2004-17
2004-04-26	6	0.0	12.4	42	22.0	53.7	2004-18
2004-05-03	8	0.0	12.4	33	21.9	53.5	2004-19
2004-05-10	11	0.0	12.4	33	21.7	53.2	2004-20
2004-05-17	6	0.0	12.4	28	21.5	53.0	2004-21
2004-05-24	1	0.0	12.4	32	21.4	52.8	2004-22
2004-05-31	7	0.0	12.4	29	21.3	52.6	2004-23
2004-06-07	11	0.0	12.5	35	21.2	52.5	2004-24
2004-06-14	9	0.0	12.5	26	21.1	52.3	2004-25
2004-06-21	6	0.0	12.5	34	21.0	52.2	2004-26
2004-06-28	7	0.0	12.6	36	20.9	52.0	2004-27
2004-07-05	5	0.0	12.6	46	20.9	52.1	2004-28
2004-07-12	4	0.0	12.7	40	21.0	52.1	2004-29
2004-07-19	7	0.0	12.7	28	21.0	52.2	2004-30
2004-07-26	10	0.0	12.8	30	21.1	52.2	2004-31
2004-08-02	10	0.0	12.8	28	21.2	52.4	2004-32
2004-08-09	8	0.0	12.9	34	21.3	52.6	2004-33
2004-08-16	6	0.0	12.9	35	21.4	52.8	2004-34
2004-08-23	7	0.0	12.9	34	21.6	53.0	2004-35
2004-08-30	7	0.0	12.9	33	21.7	53.2	2004-36
2004-09-06	9	0.0	12.9	24	21.9	53.5	2004-37
2004-09-13	4	0.0	12.9	32	22.0	53.7	2004-38
2004-09-20	7	0.0	12.9	32	22.2	53.9	2004-39
2004-09-27	5	0.0	12.9	24	22.3	54.2	2004-40
2004-10-04	4	0.0	12.9	20	22.5	54.5	2004-41
2004-10-11	6	0.0	12.9	31	22.7	54.8	2004-42
2004-10-18	2	0.0	12.9	44	22.9	55.1	2004-43
2004-10-25	3	0.0	12.9	34	23.1	55.4	2004-44
2004-11-01	8	0.0	12.9	27	23.4	55.8	2004-45
2004-11-08	5	0.0	12.9	29	23.6	56.1	2004-46
2004-11-15	5	0.0	12.9	49	23.8	56.5	2004-47
2004-11-22	5	0.0	12.9	37	24.1	56.8	2004-48
2004-11-29	2	0.0	12.9	28	24.3	57.2	2004-49
2004-12-06	6	0.0	12.9	33	24.5	57.5	2004-50
2004-12-13	7	0.0	12.9	35	24.8	57.9	2004-51
2004-12-20	8	0.0	12.9	39	25.0	58.2	2004-52
2004-12-27	5	0.0	12.9	31	25.2	58.6	2004-53
2005-01-03	5	0.0	12.7	44	26.5	60.5	2005-01
2005-01-10	6	0.0	12.6	34	26.1	59.9	2005-02
2005-01-17	7	0.0	12.6	35	25.8	59.4	2005-03
2005-01-24	6	0.0	12.5	41	25.4	58.8	2005-04
2005-01-31	2	0.0	12.4	43	25.0	58.3	2005-05
2005-02-07	9	0.0	12.4	42	24.7	57.7	2005-06
2005-02-14	6	0.0	12.3	42	24.3	57.2	2005-07
2005-02-21	9	0.0	12.3	43	23.9	56.6	2005-08
2005-02-28	6	0.0	12.2	42	23.6	56.1	2005-09
2005-03-07	4	0.0	12.2	42	23.2	55.5	2005-10
2005-03-14	8	0.0	12.2	42	22.9	55.0	2005-11
2005-03-21	10	0.0	12.1	50	22.5	54.5	2005-12
2005-03-28	12	0.0	12.1	35	22.2	53.9	2005-13
2005-04-04	6	0.0	12.0	40	21.8	53.4	2005-14
2005-04-11	8	0.0	12.0	36	21.5	52.9	2005-15
2005-04-18	5	0.0	12.0	38	21.2	52.4	2005-16
2005-04-25	13	0.0	12.0	37	20.9	52.0	2005-17
2005-05-02	4	0.0	12.0	33	20.6	51.5	2005-18
2005-05-09	12	0.0	12.0	37	20.4	51.2	2005-19
2005-05-16	7	0.0	12.0	27	20.2	50.9	2005-20
2005-05-23	6	0.0	12.0	37	20.0	50.7	2005-21
2005-05-30	8	0.0	12.0	25	19.9	50.5	2005-22
2005-06-06	7	0.0	12.1	36	19.8	50.3	2005-23
2005-06-13	8	0.0	12.1	23	19.7	50.1	2005-24
2005-06-20	2	0.0	12.1	41	19.5	49.9	2005-25
2005-06-27	6	0.0	12.2	36	19.4	49.7	2005-26
2005-07-04	8	0.0	12.2	21	19.3	49.5	2005-27
2005-07-11	6	0.0	12.2	26	19.3	49.5	2005-28
2005-07-18	2	0.0	12.3	32	19.3	49.5	2005-29
2005-07-25	5	0.0	12.3	27	19.3	49.6	2005-30
2005-08-01	5	0.0	12.3	39	19.3	49.6	2005-31
2005-08-08	5	0.0	12.3	27	19.5	49.8	2005-32
2005-08-15	4	0.0	12.4	29	19.6	49.9	2005-33
2005-08-22	6	0.0	12.4	43	19.7	50.1	2005-34
2005-08-29	6	0.0	12.4	34	19.8	50.3	2005-35
2005-09-05	5	0.0	12.4	31	20.0	50.5	2005-36
2005-09-12	6	0.0	12.3	26	20.1	50.8	2005-37
2005-09-19	5	0.0	12.3	26	20.2	51.0	2005-38
2005-09-26	6	0.0	12.3	33	20.4	51.2	2005-39
2005-10-03	4	0.0	12.3	31	20.5	51.4	2005-40
2005-10-10	3	0.0	12.3	40	20.7	51.7	2005-41
2005-10-17	7	0.0	12.2	44	20.9	51.9	2005-42
2005-10-24	11	0.0	12.2	23	21.0	52.2	2005-43
2005-10-31	6	0.0	12.2	40	21.2	52.4	2005-44
2005-11-07	5	0.0	12.1	31	21.4	52.7	2005-45
2005-11-14	9	0.0	12.1	33	21.5	53.0	2005-46
2005-11-21	5	0.0	12.1	45	21.7	53.3	2005-47
2005-11-28	8	0.0	12.0	50	21.9	53.5	2005-48
2005-12-05	6	0.0	12.0	31	22.1	53.8	2005-49
2005-12-12	6	0.0	12.0	34	22.3	54.1	2005-50
2005-12-19	2	0.0	11.9	30	22.5	54.4	2005-51
2005-12-26	11	0.0	11.9	36	22.6	54.7	2005-52
2006-01-02	4	0.0	12.4	36	25.2	58.5	2006-01
2006-01-09	6	0.0	12.4	29	24.8	58.0	2006-02
2006-01-16	5	0.0	12.4	45	24.5	57.4	2006-03
2006-01-23	3	0.0	12.3	48	24.1	56.9	2006-04
2006-01-30	7	0.0	12.3	47	23.7	56.3	2006-05
2006-02-06	8	0.0	12.3	35	23.4	55.8	2006-06
2006-02-13	11	0.0	12.3	36	23.0	55.2	2006-07
2006-02-20	5	0.0	12.3	48	22.7	54.7	2006-08
2006-02-27	6	0.0	12.2	31	22.3	54.2	2006-09
2006-03-06	8	0.0	12.2	43	22.0	53.6	2006-10
2006-03-13	3	0.0	12.2	35	21.6	53.1	2006-11
2006-03-20	4	0.0	12.2	28	21.3	52.6	2006-12
2006-03-27	3	0.0	12.2	35	20.9	52.1	2006-13
2006-04-03	3	0.0	12.2	29	20.6	51.5	2006-14
2006-04-10	2	0.0	12.1	37	20.3	51.1	2006-15
2006-04-17	3	0.0	12.1	30	20.0	50.6	2006-16
2006-04-24	8	0.0	12.1	37	19.7	50.2	2006-17
2006-05-01	8	0.0	12.1	30	19.4	49.7	2006-18
2006-05-08	6	0.0	12.1	42	19.2	49.4	2006-19
2006-05-15	4	0.0	12.1	39	19.0	49.1	2006-20
2006-05-22	2	0.0	12.1	27	18.8	48.8	2006-21
2006-05-29	5	0.0	12.0	49	18.7	48.6	2006-22
2006-06-05	5	0.0	12.0	27	18.6	48.4	2006-23
2006-06-12	3	0.0	12.0	33	18.4	48.1	2006-24
2006-06-19	9	0.0	12.0	40	18.3	47.9	2006-25
2006-06-26	7	0.0	12.0	27	18.2	47.7	2006-26
2006-07-03	6	0.0	12.0	34	18.0	47.5	2006-27
2006-07-10	6	0.0	12.0	35	18.0	47.5	2006-28
2006-07-17	6	0.0	12.0	30	18.1	47.6	2006-29
2006-07-24	10	0.0	12.0	38	18.1	47.6	2006-30
2006-07-31	5	0.0	12.0	40	18.1	47.7	2006-31
2006-08-07	8	0.0	12.0	39	18.3	47.9	2006-32
2006-08-14	11	0.0	12.1	36	18.4	48.1	2006-33
2006-08-21	5	0.0	12.1	40	18.5	48.3	2006-34
2006-08-28	6	0.0	12.1	35	18.7	48.6	2006-35
2006-09-04	7	0.0	12.1	34	18.9	48.8	2006-36
2006-09-11	1	0.0	12.1	34	19.0	49.1	2006-37
2006-09-18	4	0.0	12.1	33	19.2	49.4	2006-38
2006-09-25	6	0.0	12.1	35	19.4	49.7	2006-39
2006-10-02	8	0.0	12.1	28	19.6	49.9	2006-40
2006-10-09	5	0.0	12.1	33	19.8	50.3	2006-41
2006-10-16	8	0.0	12.1	36	20.0	50.6	2006-42
2006-10-23	5	0.0	12.1	35	20.2	50.9	2006-43
2006-10-30	5	0.0	12.1	31	20.4	51.2	2006-44
2006-11-06	9	0.0	12.2	36	20.6	51.5	2006-45
2006-11-13	3	0.0	12.2	32	20.8	51.8	2006-46
2006-11-20	4	0.0	12.2	44	21.0	52.1	2006-47
2006-11-27	4	0.0	12.2	32	21.2	52.5	2006-48
2006-12-04	11	0.0	12.2	46	21.4	52.8	2006-49
2006-12-11	3	0.0	12.2	30	21.6	53.1	2006-50
2006-12-18	5	0.0	12.2	44	21.8	53.4	2006-51
2006-12-25	6	0.0	12.2	42	22.0	53.8	2006-52
2007-01-01	4	0.0	12.1	36	23.7	56.3	2007-01
2007-01-08	6	0.0	12.1	28	23.4	55.9	2007-02
2007-01-15	2	0.0	12.1	38	23.1	55.4	2007-03
2007-01-22	4	0.0	12.0	35	22.8	55.0	2007-04
2007-01-29	5	0.0	12.0	36	22.5	54.5	2007-05
2007-02-05	2	0.0	12.0	34	22.2	54.0	2007-06
2007-02-12	8	0.0	12.0	38	21.9	53.6	2007-07
2007-02-19	6	0.0	11.9	47	21.6	53.2	2007-08
2007-02-26	6	0.0	11.9	45	21.4	52.7	2007-09
2007-03-05	7	0.0	11.9	35	21.1	52.3	2007-10
2007-03-12	5	0.0	11.9	44	20.8	51.9	2007-11
2007-03-19	7	0.0	11.9	22	20.5	51.4	2007-12
2007-03-26	8	0.0	11.8	30	20.2	51.0	2007-13
2007-04-02	7	0.0	11.8	23	20.0	50.5	2007-14
2007-04-09	4	0.0	11.8	26	19.7	50.2	2007-15
2007-04-16	11	0.0	11.8	35	19.5	49.9	2007-16
2007-04-23	5	0.0	11.7	27	19.3	49.5	2007-17
2007-04-30	1	0.0	11.7	30	19.1	49.2	2007-18
2007-05-07	7	0.0	11.7	35	18.9	48.9	2007-19
2007-05-14	6	0.0	11.7	30	18.7	48.5	2007-20
2007-05-21	7	0.0	11.7	37	18.4	48.2	2007-21
2007-05-28	8	0.0	11.7	37	18.4	48.0	2007-22
2007-06-04	4	0.0	11.6	29	18.3	47.9	2007-23
2007-06-11	5	0.0	11.6	33	18.2	47.8	2007-24
2007-06-18	7	0.0	11.6	31	18.1	47.6	2007-25
2007-06-25	6	0.0	11.6	27	18.0	47.5	2007-26
2007-07-02	3	0.0	11.6	21	17.9	47.4	2007-27
2007-07-09	9	0.0	11.6	30	18.0	47.4	2007-28
2007-07-16	3	0.0	11.6	29	18.0	47.5	2007-29
2007-07-23	3	0.0	11.6	29	18.1	47.6	2007-30
2007-07-30	8	0.0	11.6	27	18.1	47.7	2007-31
2007-08-06	4	0.0	11.6	33	18.2	47.8	2007-32
2007-08-13	8	0.0	11.6	32	18.2	47.9	2007-33
2007-08-20	4	0.0	11.6	30	18.3	47.9	2007-34
2007-08-27	6	0.0	11.6	34	18.4	48.2	2007-35
2007-09-03	5	0.0	11.6	25	18.6	48.4	2007-36
2007-09-10	2	0.0	11.6	28	18.7	48.6	2007-37
2007-09-17	6	0.0	11.7	30	18.9	48.8	2007-38
2007-09-24	4	0.0	11.7	31	19.0	49.1	2007-39
2007-10-01	3	0.0	11.7	30	19.2	49.3	2007-40
2007-10-08	7	0.0	11.7	32	19.3	49.6	2007-41
2007-10-15	10	0.0	11.7	34	19.5	49.8	2007-42
2007-10-22	10	0.0	11.7	30	19.7	50.1	2007-43
2007-10-29	9	0.0	11.7	43	19.8	50.3	2007-44
2007-11-05	5	0.0	11.7	26	20.0	50.6	2007-45
2007-11-12	6	0.0	11.7	35	20.2	50.9	2007-46
2007-11-19	9	0.0	11.7	54	20.3	51.1	2007-47
2007-11-26	6	0.0	11.7	41	20.5	51.4	2007-48
2007-12-03	4	0.0	11.7	26	20.7	51.7	2007-49
2007-12-10	7	0.0	11.7	26	20.9	51.9	2007-50
2007-12-17	5	0.0	11.7	51	21.0	52.2	2007-51
2007-12-24	7	0.0	11.7	38	21.2	52.5	2007-52
2007-12-31	6	0.0	11.7	45	21.2	52.5	2008-01
2008-01-07	4	0.0	11.7	33	21.0	52.1	2008-02
2008-01-14	4	0.0	11.7	45	20.7	51.8	2008-03
2008-01-21	7	0.0	11.7	37	20.5	51.4	2008-04
2008-01-28	5	0.0	11.7	36	20.3	51.0	2008-05
2008-02-04	7	0.0	11.6	31	20.0	50.7	2008-06
2008-02-11	10	0.0	11.6	34	19.8	50.3	2008-07
2008-02-18	7	0.0	11.6	39	19.6	50.0	2008-08
2008-02-25	7	0.0	11.6	43	19.4	49.6	2008-09
2008-03-03	4	0.0	11.6	45	19.2	49.3	2008-10
2008-03-10	8	0.0	11.6	30	18.9	49.0	2008-11
2008-03-17	7	0.0	11.5	40	18.7	48.6	2008-12
2008-03-24	6	0.0	11.5	38	18.5	48.3	2008-13
2008-03-31	3	0.0	11.5	34	18.3	47.9	2008-14
2008-04-07	4	0.0	11.5	44	18.1	47.6	2008-15
2008-04-14	2	0.0	11.5	38	17.9	47.4	2008-16
2008-04-21	8	0.0	11.5	36	17.7	47.1	2008-17
2008-04-28	3	0.0	11.5	33	17.5	46.8	2008-18
2008-05-05	2	0.0	11.5	32	17.4	46.5	2008-19
2008-05-12	3	0.0	11.4	31	17.2	46.2	2008-20
2008-05-19	4	0.0	11.4	39	17.0	45.9	2008-21
2008-05-26	5	0.0	11.4	29	16.9	45.7	2008-22
2008-06-02	4	0.0	11.4	28	16.8	45.6	2008-23
2008-06-09	8	0.0	11.4	31	16.7	45.5	2008-24
2008-06-16	6	0.0	11.4	31	16.7	45.3	2008-25
2008-06-23	15	0.0	11.4	37	16.6	45.2	2008-26
2008-06-30	7	0.0	11.4	38	16.5	45.1	2008-27
2008-07-07	5	0.0	11.4	38	16.5	45.1	2008-28
2008-07-14	4	0.0	11.4	36	16.6	45.2	2008-29
2008-07-21	8	0.0	11.4	40	16.6	45.2	2008-30
2008-07-28	10	0.0	11.4	31	16.6	45.3	2008-31
2008-08-04	6	0.0	11.4	34	16.7	45.3	2008-32
2008-08-11	8	0.0	11.4	32	16.7	45.4	2008-33
2008-08-18	5	0.0	11.4	34	16.7	45.5	2008-34
2008-08-25	10	0.0	11.4	35	16.9	45.7	2008-35
2008-09-01	9	0.0	11.4	36	17.0	45.9	2008-36
2008-09-08	8	0.0	11.4	36	17.2	46.2	2008-37
2008-09-15	4	0.0	11.4	37	17.3	46.4	2008-38
2008-09-22	6	0.0	11.4	36	17.5	46.7	2008-39
2008-09-29	11	0.0	11.5	34	17.7	46.9	2008-40
2008-10-06	1	0.0	11.5	23	17.8	47.2	2008-41
2008-10-13	6	0.0	11.5	29	18.0	47.5	2008-42
2008-10-20	7	0.0	11.5	39	18.2	47.8	2008-43
2008-10-27	6	0.0	11.5	33	18.4	48.1	2008-44
2008-11-03	2	0.0	11.5	42	18.6	48.4	2008-45
2008-11-10	4	0.0	11.5	34	18.8	48.7	2008-46
2008-11-17	4	0.0	11.5	40	19.0	49.0	2008-47
2008-11-24	14	0.0	11.5	39	19.2	49.3	2008-48
2008-12-01	4	0.0	11.5	28	19.4	49.7	2008-49
2008-12-08	4	0.0	11.5	43	19.6	50.0	2008-50
2008-12-15	4	0.0	11.5	34	19.8	50.3	2008-51
2008-12-22	4	0.0	11.5	32	20.0	50.6	2008-52
2008-12-29	7	0.0	11.9	38	22.6	54.5	2009-01
2009-01-05	5	0.0	11.9	40	22.3	54.2	2009-02
2009-01-12	4	0.0	11.8	43	22.1	53.8	2009-03
2009-01-19	13	0.0	11.8	53	21.8	53.4	2009-04
2009-01-26	7	0.0	11.7	62	21.6	53.0	2009-05
2009-02-02	5	0.0	11.7	48	21.3	52.6	2009-06
2009-02-09	7	0.0	11.7	34	21.1	52.2	2009-07
2009-02-16	7	0.0	11.6	41	20.8	51.9	2009-08
2009-02-23	6	0.0	11.6	32	20.6	51.5	2009-09
