""	"Schweizer"	"Schweizerinnen"	"Ausländer"	"Ausländerinnen"
"2019-10"	0.022	0.020	0.040	0.033
"2019-11"	0.023	0.020	0.046	0.033
"2019-12"	0.025	0.020	0.053	0.034
"2020-01"	0.026	0.022	0.054	0.035
"2020-02"	0.026	0.023	0.052	0.035
"2020-03"	0.029	0.025	0.056	0.039
"2020-04"	0.032	0.028	0.060	0.043
"2020-05"	0.033	0.029	0.060	0.046
"2020-06"	0.034	0.030	0.059	0.047
"2020-07"	0.035	0.032	0.059	0.048
"2020-08"	0.035	0.031	0.056	0.047
"2020-09"	0.033	0.029	0.056	0.047
"2020-10"	0.033	0.028	0.057	0.048
"2020-11"	0.033	0.028	0.060	0.047
"2020-12"	0.035	0.028	0.070	0.048
"2021-01"	0.036	0.029	0.070	0.050
"2021-02"	0.036	0.029	0.069	0.050
"2021-03"	0.036	0.028	0.068	0.050
"2021-04"	0.034	0.028	0.064	0.049
"2021-05"	0.032	0.028	0.059	0.048
"2021-06"	0.032	0.028	0.055	0.046
"2021-07"	0.032	0.028	0.052	0.045
"2021-08"	0.030	0.027	0.052	0.043
"2021-09"	0.027	0.026	0.049	0.042
"2021-10"	0.027	0.024	0.047	0.041
"2021-11"	0.027	0.022	0.050	0.039
"2021-12"	0.026	0.022	0.056	0.038
"2022-01"	0.027	0.022	0.056	0.039
"2022-02"	0.027	0.022	0.054	0.039
"2022-03"	0.026	0.021	0.051	0.037
"2022-04"	0.025	0.021	0.048	0.037
"2022-05"	0.025	0.020	0.046	0.037
"2022-06"	0.024	0.020	0.044	0.036
"2022-07"	0.024	0.019	0.042	0.037
"2022-08"	0.024	0.019	0.041	0.037
"2022-09"	0.024	0.019	0.040	0.036
"2022-10"	0.024	0.019	0.040	0.035
"2022-11"	0.023	0.019	0.043	0.035
"2022-12"	0.022	0.018	0.049	0.034
"2023-01"	0.022	0.019	0.051	0.036
"2023-02"	0.022	0.019	0.052	0.037
"2023-03"	0.022	0.019	0.049	0.035
"2023-04"	0.022	0.020	0.048	0.035
"2023-05"	0.023	0.018	0.045	0.035
"2023-06"	0.022	0.018	0.045	0.035
"2023-07"	0.023	0.019	0.045	0.036
"2023-08"	0.023	0.020	0.046	0.037
"2023-09"	0.023	0.019	0.045	0.038
"2023-10"	0.024	0.018	0.049	0.040
"2023-11"	0.025	0.017	0.054	0.043
"2023-12"	0.027	0.017	0.061	0.045

