"Datum"	"Arbeitslose"	"Langzeitarbeitslose"	"Anteil Langzeitarbeitslose am Total (rechte Skala)"
"2022-07"	2926	707	0.24163
"2022-08"	2934	663	0.22597
"2022-09"	2842	625	0.21992
"2022-10"	2846	618	0.21715
"2022-11"	2915	600	0.20583
"2022-12"	2964	527	0.17780
"2023-01"	3088	495	0.16030
"2023-02"	3107	484	0.15578
"2023-03"	3019	455	0.15071
"2023-04"	3023	465	0.15382
"2023-05"	2906	452	0.15554
"2023-06"	2903	440	0.15157
"2023-07"	2989	444	0.14854
"2023-08"	3044	449	0.14750
"2023-09"	2995	436	0.14558
"2023-10"	3137	451	0.14377
"2023-11"	3306	472	0.14277
"2023-12"	3573	496	0.13882
"2024-01"	3938	518	0.13154
"2024-02"	3855	572	0.14838
"2024-03"	3817	590	0.15457
"2024-04"	3796	587	0.15464

