""	"Schweizer"	"Schweizerinnen"	"Ausländer"	"Ausländerinnen"
"2016-07"	0.030	0.026	0.053	0.045
"2016-08"	0.031	0.028	0.052	0.045
"2016-09"	0.030	0.028	0.052	0.044
"2016-10"	0.031	0.028	0.054	0.043
"2016-11"	0.032	0.028	0.061	0.044
"2016-12"	0.032	0.027	0.069	0.044
"2017-01"	0.034	0.027	0.073	0.044
"2017-02"	0.033	0.027	0.070	0.045
"2017-03"	0.032	0.028	0.065	0.046
"2017-04"	0.032	0.028	0.060	0.044
"2017-05"	0.030	0.026	0.055	0.044
"2017-06"	0.029	0.026	0.054	0.044
"2017-07"	0.029	0.026	0.052	0.044
"2017-08"	0.031	0.028	0.050	0.046
"2017-09"	0.029	0.026	0.049	0.043
"2017-10"	0.030	0.026	0.050	0.044
"2017-11"	0.030	0.026	0.052	0.043
"2017-12"	0.030	0.025	0.059	0.045

